case,symbol,block_rms_error,filtered_mean_error
"Measured FIR, synchronous",5760,201.32289052663634,199.27334309048348
"Measured FIR, synchronous",5920,189.45672329057103,196.32835715050976
"Measured FIR, synchronous",6080,161.36013680584185,185.8378910471094
"Measured FIR, synchronous",6240,196.5732210907681,189.058490060207
"Measured FIR, synchronous",6400,190.15452597821593,189.38730083560966
"Measured FIR, synchronous",6560,196.7871470650459,191.60725470444055
"Measured FIR, synchronous",6720,200.9605371708585,194.41323944436593
"Measured FIR, synchronous",6880,200.47465550537805,196.23166426266954
"Measured FIR, synchronous",7040,172.3016976120665,189.0526742674886
"Measured FIR, synchronous",7200,206.5295075770046,194.29572426034343
"Measured FIR, synchronous",7360,194.854448884289,194.4633416475271
"Measured FIR, synchronous",7520,198.8807902991136,195.78857624300304
"Measured FIR, synchronous",7680,169.35259076849104,187.85778060064945
"Measured FIR, synchronous",7840,203.81923670252522,192.64621743121216
"Measured FIR, synchronous",8000,185.4235691599102,190.47942294982158
"Measured FIR, synchronous",8160,188.85356430313936,189.9916653558169
"Measured FIR, synchronous",8320,183.34460382023792,187.99754689514322
"Measured FIR, synchronous",8480,190.25998659728745,188.67627880578647
"Measured FIR, synchronous",8640,164.48219888486412,181.41805482950974
"Measured FIR, synchronous",8800,189.0258580194784,183.70039578650034
"Measured FIR, synchronous",8960,170.2880464096056,179.67669097343193
"Measured FIR, synchronous",9120,178.43573773210343,179.3044050010334
"Measured FIR, synchronous",9280,180.50799843774237,179.6654830320461
"Measured FIR, synchronous",9440,178.61090742169137,179.3491103489397
"Measured FIR, synchronous",9600,165.26282098524158,175.12322353983026
"Measured FIR, synchronous",9760,161.41634830462496,171.01116096926867
"Measured FIR, synchronous",9920,169.34460059299204,170.5111928563857
Measured FIR plus residual clock,160,2955.083712858233,886.52511385747
Measured FIR plus residual clock,320,2812.187397071895,1464.2237988217976
Measured FIR plus residual clock,480,2673.7451846613953,1827.080214573677
