path,frequency_hz,q25_db_rel_3600,median_db_rel_3600,q75_db_rel_3600
SIP D/A-A/D,76.66015625,-19.968784961293544,-18.912015797464655,-18.030054879769025
SIP D/A-A/D,77.1484375,-19.827752790250372,-18.756893071185637,-17.91008763756036
SIP D/A-A/D,77.63671875,-19.686345458031425,-18.630275382598178,-17.80884437386645
SIP D/A-A/D,78.125,-19.544599684534447,-18.516958438813642,-17.67468014249942
SIP D/A-A/D,78.61328125,-19.40255127853004,-18.40397947859562,-17.55692608191546
SIP D/A-A/D,79.1015625,-19.260235131721835,-18.291317316253597,-17.44131936218023
SIP D/A-A/D,79.58984375,-19.117685215305585,-18.169028044406247,-17.326705023590975
SIP D/A-A/D,80.078125,-18.974934578854835,-18.0319063853911,-17.21304549628462
SIP D/A-A/D,80.56640625,-18.832015351364994,-17.894556045494102,-17.100303955782124
SIP D/A-A/D,81.0546875,-18.68895874429085,-17.764013252659446,-16.98844431319403
SIP D/A-A/D,81.54296875,-18.545795056417923,-17.64671788837253,-16.87743120630778
SIP D/A-A/D,82.03125,-18.40255368041354,-17.529566600680017,-16.767229991550938
SIP D/A-A/D,82.51953125,-18.25926311090837,-17.412550388549764,-16.651422319583475
SIP D/A-A/D,83.0078125,-18.115950953966525,-17.295660692059876,-16.533648917437247
SIP D/A-A/D,83.49609375,-17.97264393780764,-17.16993947548677,-16.43075960000445
SIP D/A-A/D,83.984375,-17.829367924651514,-17.04001853695688,-16.33387595648313
SIP D/A-A/D,84.47265625,-17.686147923562373,-16.910230521320432,-16.22519203262779
SIP D/A-A/D,84.9609375,-17.543008104176437,-16.78057612393203,-16.087313898768024
SIP D/A-A/D,85.44921875,-17.396709428308146,-16.689475309099862,-15.950555535520017
SIP D/A-A/D,85.9375,-17.204007005978514,-16.53085467148714,-15.829449441645691
SIP D/A-A/D,86.42578125,-17.06290666849347,-16.392426848967713,-15.712496584606358
SIP D/A-A/D,86.9140625,-16.917457098237158,-16.26332083372707,-15.60473948307547
SIP D/A-A/D,87.40234375,-16.776166279762908,-16.134357063209887,-15.518844632611337
SIP D/A-A/D,87.890625,-16.62738758348377,-16.005538233904435,-15.415255774667921
SIP D/A-A/D,88.37890625,-16.458536751676636,-15.8768673425519,-15.286209964044259
SIP D/A-A/D,88.8671875,-16.32242212990979,-15.748347674737861,-15.158086878469314
SIP D/A-A/D,89.35546875,-16.201921293217183,-15.619982792961082,-15.030863340244403
SIP D/A-A/D,89.84375,-16.080570365048626,-15.491776524257968,-14.90451692546767
SIP D/A-A/D,90.33203125,-15.958420677068169,-15.3637329474568,-14.781417000610789
SIP D/A-A/D,90.8203125,-15.83552314999741,-15.235856380132734,-14.661247435980215
SIP D/A-A/D,91.30859375,-15.699052725307068,-15.11903402220625,-14.530527014817283
SIP D/A-A/D,91.796875,-15.559140772739005,-15.032398279861678,-14.407479147216177
SIP D/A-A/D,92.28515625,-15.413697177689503,-14.8876034749937,-14.285206818769174
SIP D/A-A/D,92.7734375,-15.25854757293871,-14.782529789120147,-14.163691676758988
SIP D/A-A/D,93.26171875,-15.120469855029715,-14.67731691729519,-14.042915979022828
SIP D/A-A/D,93.75,-15.003149270926619,-14.571961075281425,-13.922862576380796
